@Concept: #id, key, label, concept, body_part, frequency
382, 7.63, mortar, mortar, 0.0, 142.0
383, 7.62, brick, brick, 0.0, 168.0
384, 7.61, mason, mason, 0.0, 160.0
385, 9.791, fan (vb), fan (vb), 0.0, 201.0
386, 7.64, adobe, adobe, 0.0, 114.0
387, 16.65, faithful, faithful, 0.0, 198.0
388, 9.34, spread out, spread out, 0.0, 303.0
389, 2.71, stepfather, stepfather, 0.0, 208.0
390, 10.88, sail (noun), sail (noun), 0.0, 141.0
391, 14.31, always, always, 0.0, 288.0
392, 12.81, round, round, 0.0, 263.0
393, 14.33, sometimes, sometimes, 0.0, 240.0
394, 14.32, often, often, 0.0, 234.0
395, 14.35, again, again, 0.0, 302.0
396, 14.34, never, never, 0.0, 255.0
397, 11.44, coin, coin, 0.0, 206.0
398, 3.821, beeswax, beeswax, 0.0, 199.0
399, 3.822, beehive, beehive, 0.0, 198.0
400, 3.823, wasp, wasp, 0.0, 244.0
401, 2.942, we (exclusive), we (exclusive), 0.0, 184.0
402, 3.5, fowl, fowl, 0.0, 184.0
403, 2.941, we (inclusive), we (inclusive), 0.0, 184.0
404, 3.2, cattle (bovine), cattle (bovine), 0.0, 193.0
405, 18.35, ask/ request, ask/ request, 0.0, 262.0
406, 18.34, deny, deny, 0.0, 215.0
407, 18.37, refuse, refuse, 0.0, 205.0
408, 18.36, promise, promise, 0.0, 202.0
409, 18.31, ask (question/ inquire), ask (question/ inquire), 0.0, 259.0
410, 2.61, father-in-law (of a man), father-in-law (of a man), 0.0, 230.0
411, 2.62, mother-in-law (of a man), mother-in-law (of a man), 0.0, 235.0
412, 18.32, answer, answer, 0.0, 248.0
413, 14.66, Thursday, Thursday, 0.0, 162.0
414, 18.39, rebuke/ scold, rebuke/ scold, 0.0, 290.0
415, 18.38, forbid, forbid, 0.0, 219.0
416, 19.43, servant, servant, 0.0, 246.0
417, 19.42, slave, slave, 0.0, 202.0
418, 19.41, master, master, 0.0, 269.0
419, 3.11, animal, animal, 0.0, 247.0
420, 19.47, let/ permit, let/ permit, 0.0, 248.0
421, 19.46, obey, obey, 0.0, 240.0
422, 19.45, command/ order, command/ order, 0.0, 274.0
423, 19.44, freeman, freeman, 0.0, 142.0
424, 14.481, day-after-tomorrow, day-after-tomorrow, 0.0, 205.0
425, 15.55, show, show, 0.0, 267.0
426, 15.56, shine, shine, 0.0, 321.0
427, 15.57, bright, bright, 0.0, 286.0
428, 20.48, booty/ spoils, booty/ spoils, 0.0, 184.0
429, 15.51, see, see, 0.0, 278.0
430, 15.52, look/ look at, look/ look at, 0.0, 290.0
431, 12.84, line, line, 0.0, 227.0
432, 8.941, sugar cane, sugar cane, 0.0, 150.0
433, 10.831, canoe, canoe, 0.0, 180.0
434, 8.691, pipe, pipe, 0.0, 182.0
435, 4.461, intestines/ guts, intestines/ guts, 1.0, 273.0
436, 4.151, vein/ artery, vein/ artery, 1.0, 267.0
437, 7.18, meeting house, meeting house, 0.0, 156.0
438, 4.202, skull, skull, 1.0, 252.0
439, 7.16, men's house, men's house, 0.0, 60.0
440, 7.17, cookhouse, cookhouse, 0.0, 164.0
441, 7.14, tent, tent, 0.0, 175.0
442, 7.15, yard/ court, yard/ court, 0.0, 221.0
443, 7.12, house, house, 0.0, 292.0
444, 7.13, hut, hut, 0.0, 258.0
445, 7.11, dwell/ live, dwell/ live, 0.0, 275.0
446, 10.66, ride, ride, 0.0, 209.0
447, 4.162, rib, rib, 1.0, 244.0
448, 10.67, push/ shove, push/ shove, 0.0, 294.0
449, 3.81, insect, insect, 0.0, 179.0
450, 10.84, raft, raft, 0.0, 146.0
451, 3.83, fly, fly, 0.0, 243.0
452, 3.82, bee, bee, 0.0, 256.0
453, 3.85, snake, snake, 0.0, 256.0
454, 3.84, worm, worm, 0.0, 282.0
455, 1.45, earthquake, earthquake, 0.0, 205.0
456, 10.65, drive, drive, 0.0, 217.0
457, 1.43, wood, wood, 0.0, 251.0
458, 10.86, rudder, rudder, 0.0, 138.0
459, 1.41, woods/ forest, woods/ forest, 0.0, 289.0
460, 3.57, duck, duck, 0.0, 229.0
461, 12.27, hide/ conceal, hide/ conceal, 0.0, 303.0
462, 4.204, face, face, 1.0, 282.0
463, 13.101, eleven, eleven, 0.0, 179.0
464, 3.54, hen, hen, 0.0, 215.0
465, 4.81, strong/ mighty/ powerful, strong/ mighty/ powerful, 0.0, 368.0
466, 3.12, male (adj), male (adj), 0.0, 218.0
467, 3.13, female (adj), female (adj), 0.0, 214.0
468, 18.222, speech (make a), speech (make a), 0.0, 218.0
469, 3.16, pasture, pasture, 0.0, 238.0
470, 3.15, livestock, livestock, 0.0, 209.0
471, 9.261, broken, broken, 0.0, 257.0
472, 3.18, herdsman, herdsman, 0.0, 208.0
473, 3.19, stable/ stall, stable/ stall, 0.0, 236.0
474, 16.73, right/ correct, right/ correct, 0.0, 269.0
475, 16.72, bad, bad, 0.0, 312.0
476, 16.71, good, good, 0.0, 296.0
477, 16.77, mistake/ error, mistake/ error, 0.0, 269.0
478, 16.76, fault, fault, 0.0, 225.0
479, 15.712, pinch, pinch, 0.0, 272.0
480, 13.42, third, third, 0.0, 175.0
481, 16.79, praise, praise, 0.0, 221.0
482, 16.78, blame, blame, 0.0, 219.0
483, 6.31, spin, spin, 0.0, 224.0
484, 4.83, well/ health, well/ health, 0.0, 328.0
485, 4.79, grave/ tomb, grave/ tomb, 0.0, 255.0
486, 4.78, bury (the dead), bury (the dead), 0.0, 261.0
487, 2.341, divorce, divorce, 0.0, 209.0
488, 10.35, swim, swim, 0.0, 255.0
489, 6.37, awl, awl, 0.0, 166.0
490, 10.37, fly (vb), fly (vb), 0.0, 250.0
491, 16.74, wrong, wrong, 0.0, 246.0
492, 4.71, beget (of father), beget (of father), 0.0, 189.0
493, 8.82, coconut, coconut, 0.0, 112.0
494, 10.33, sink, sink, 0.0, 277.0
495, 4.72, born (to be), born (to be), 0.0, 264.0
496, 2.73, stepson, stepson, 0.0, 194.0
497, 3.28, ewe, ewe, 0.0, 169.0
498, 12.212, pick up, pick up, 0.0, 248.0
499, 5.391, tongs, tongs, 0.0, 183.0
500, 16.66, true, true, 0.0, 289.0
501, 8.311, seed, seed, 0.0, 266.0
502, 2.28, infant/ baby, infant/ baby, 0.0, 297.0
503, 10.36, sail (vb), sail (vb), 0.0, 136.0
504, 20.62, shoot, shoot, 0.0, 293.0
505, 20.65, trap (vb), trap (vb), 0.0, 202.0
506, 20.64, trap (noun), trap (noun), 0.0, 240.0
507, 8.85, banyan, banyan, 0.0, 98.0
508, 9.76, basket, basket, 0.0, 310.0
509, 9.77, mat, mat, 0.0, 199.0
510, 21.24, swear, swear, 0.0, 172.0
511, 9.75, weave/ plait, weave/ plait, 0.0, 255.0
512, 9.72, mold (clay etc), mold (clay etc), 0.0, 179.0
513, 9.73, clay, clay, 0.0, 257.0
514, 5.121, cooked, cooked, 0.0, 237.0
515, 4.441, lung, lung, 1.0, 225.0
516, 5.712, bunch, bunch, 0.0, 253.0
517, 13.6, six, six, 0.0, 161.0
518, 9.78, netbag, netbag, 0.0, 151.0
519, 9.79, fan (noun), fan (noun), 0.0, 191.0
520, 17.56, no/ negative, no/ negative, 0.0, 353.0
521, 17.54, or, or, 0.0, 222.0
522, 17.55, yes/ affirmative, yes/ affirmative, 0.0, 300.0
523, 17.52, because, because, 0.0, 291.0
524, 17.53, if, if, 0.0, 277.0
525, 17.51, and, and, 0.0, 260.0
526, 3.582, seagull, seagull, 0.0, 153.0
527, 3.622, opossum, opossum, 0.0, 101.0
528, 4.842, goiter, goiter, 0.0, 162.0
529, 12.53, grow, grow, 0.0, 302.0
530, 5.59, pestle, pestle, 0.0, 200.0
531, 5.18, chew, chew, 0.0, 262.0
532, 6.76, bead, bead, 0.0, 206.0
533, 6.75, necklace, necklace, 0.0, 250.0
